Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Dubai (DICS),"Oct 7, 2021",6 wickets,2021,Chennai Super Kings,Punjab Kings,Punjab Kings,wickets,6
Abu Dhabi,"Oct 6, 2021",4 runs,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,4
Sharjah,"Oct 5, 2021",8 wickets,2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,8
Dubai (DICS),"Oct 4, 2021",3 wickets,2021,Delhi Capitals,Chennai Super Kings,Delhi Capitals,wickets,3
Dubai (DICS),"Oct 3, 2021",6 wickets,2021,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,6
Sharjah,"Oct 3, 2021",6 runs,2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,runs,6
Abu Dhabi,"Oct 2, 2021",7 wickets,2021,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,7
Sharjah,"Oct 2, 2021",4 wickets,2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,wickets,4
Dubai (DICS),"Oct 1, 2021",5 wickets,2021,Kolkata Knight Riders,Punjab Kings,Punjab Kings,wickets,5
Sharjah,"Sep 30, 2021",6 wickets,2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,wickets,6
Dubai (DICS),"Sep 29, 2021",7 wickets,2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,7
Abu Dhabi,"Sep 28, 2021",6 wickets,2021,Mumbai Indians,Punjab Kings,Mumbai Indians,wickets,6
Sharjah,"Sep 28, 2021",3 wickets,2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,wickets,3
Dubai (DICS),"Sep 27, 2021",7 wickets,2021,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,wickets,7
Dubai (DICS),"Sep 26, 2021",54 runs,2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,runs,54
Abu Dhabi,"Sep 26, 2021",2 wickets,2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,2
Sharjah,"Sep 25, 2021",5 runs,2021,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,runs,5
Abu Dhabi,"Sep 25, 2021",33 runs,2021,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,33
Sharjah,"Sep 24, 2021",6 wickets,2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,6
Abu Dhabi,"Sep 23, 2021",7 wickets,2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Dubai (DICS),"Sep 22, 2021",8 wickets,2021,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,wickets,8
Dubai (DICS),"Sep 21, 2021",2 runs,2021,Punjab Kings,Rajasthan Royals,Rajasthan Royals,runs,2
Abu Dhabi,"Sep 20, 2021",9 wickets,2021,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,wickets,9
Dubai (DICS),"Sep 19, 2021",20 runs,2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,20
Ahmedabad,"May 2, 2021",7 wickets,2021,Punjab Kings,Delhi Capitals,Delhi Capitals,wickets,7
Delhi,"May 2, 2021",55 runs,2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,runs,55
Delhi,"May 1, 2021",4 wickets,2021,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,4
Ahmedabad,"Apr 30, 2021",34 runs,2021,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,runs,34
Ahmedabad,"Apr 29, 2021",7 wickets,2021,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,wickets,7
Delhi,"Apr 29, 2021",7 wickets,2021,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,7
Delhi,"Apr 28, 2021",7 wickets,2021,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,7
Ahmedabad,"Apr 27, 2021",1 run,2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,run,1
Ahmedabad,"Apr 26, 2021",5 wickets,2021,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Wankhede,"Apr 25, 2021",69 runs,2021,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,69
Wankhede,"Apr 24, 2021",6 wickets,2021,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,wickets,6
Chennai,"Apr 23, 2021",9 wickets,2021,Punjab Kings,Mumbai Indians,Punjab Kings,wickets,9
Wankhede,"Apr 22, 2021",10 wickets,2021,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,10
Wankhede,"Apr 21, 2021",18 runs,2021,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,18
Chennai,"Apr 21, 2021",9 wickets,2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,9
Chennai,"Apr 20, 2021",6 wickets,2021,Delhi Capitals,Mumbai Indians,Delhi Capitals,wickets,6
Wankhede,"Apr 19, 2021",45 runs,2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,45
Wankhede,"Apr 18, 2021",6 wickets,2021,Delhi Capitals,Punjab Kings,Delhi Capitals,wickets,6
Chennai,"Apr 18, 2021",38 runs,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,runs,38
Chennai,"Apr 17, 2021",13 runs,2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,runs,13
Wankhede,"Apr 16, 2021",6 wickets,2021,Punjab Kings,Chennai Super Kings,Chennai Super Kings,wickets,6
Wankhede,"Apr 15, 2021",3 wickets,2021,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,wickets,3
Chennai,"Apr 14, 2021",6 runs,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,6
Chennai,"Apr 13, 2021",10 runs,2021,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,10
Wankhede,"Apr 12, 2021",4 runs,2021,Rajasthan Royals,Punjab Kings,Punjab Kings,runs,4
Chennai,"Apr 11, 2021",10 runs,2021,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,runs,10
Wankhede,"Apr 10, 2021",7 wickets,2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,wickets,7
Chennai,"Apr 9, 2021",2 wickets,2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,2
Dubai (DICS),"Nov 10, 2020",5 wickets,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,wickets,5
Abu Dhabi,"Nov 8, 2020",17 runs,2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,runs,17
Abu Dhabi,"Nov 6, 2020",6 wickets,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,6
Dubai (DICS),"Nov 5, 2020",57 runs,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,runs,57
Sharjah,"Nov 3, 2020",10 wickets,2020,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wickets,10
Abu Dhabi,"Nov 2, 2020",6 wickets,2020,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,wickets,6
Dubai (DICS),"Nov 1, 2020",60 runs,2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,60
Abu Dhabi,"Nov 1, 2020",9 wickets,2020,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,wickets,9
Sharjah,"Oct 31, 2020",5 wickets,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Dubai (DICS),"Oct 31, 2020",9 wickets,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,wickets,9
Abu Dhabi,"Oct 30, 2020",7 wickets,2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,wickets,7
Dubai (DICS),"Oct 29, 2020",6 wickets,2020,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,6
Abu Dhabi,"Oct 28, 2020",5 wickets,2020,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,5
Dubai (DICS),"Oct 27, 2020",88 runs,2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,runs,88
Sharjah,"Oct 26, 2020",8 wickets,2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,8
Abu Dhabi,"Oct 25, 2020",8 wickets,2020,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,8
Dubai (DICS),"Oct 25, 2020",8 wickets,2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,8
Dubai (DICS),"Oct 24, 2020",12 runs,2020,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,runs,12
Abu Dhabi,"Oct 24, 2020",59 runs,2020,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,runs,59
Sharjah,"Oct 23, 2020",10 wickets,2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,10
Dubai (DICS),"Oct 22, 2020",8 wickets,2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Abu Dhabi,"Oct 21, 2020",8 wickets,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Dubai (DICS),"Oct 20, 2020",5 wickets,2020,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,wickets,5
Abu Dhabi,"Oct 19, 2020",7 wickets,2020,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,wickets,7
Sharjah,"Oct 17, 2020",5 wickets,2020,Delhi Capitals,Chennai Super Kings,Delhi Capitals,wickets,5
Dubai (DICS),"Oct 17, 2020",7 wickets,2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,7
Abu Dhabi,"Oct 16, 2020",8 wickets,2020,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,8
Sharjah,"Oct 15, 2020",8 wickets,2020,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,8
Dubai (DICS),"Oct 14, 2020",13 runs,2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,13
Dubai (DICS),"Oct 13, 2020",20 runs,2020,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,20
Sharjah,"Oct 12, 2020",82 runs,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,runs,82
Abu Dhabi,"Oct 11, 2020",5 wickets,2020,Mumbai Indians,Delhi Capitals,Mumbai Indians,wickets,5
Dubai (DICS),"Oct 11, 2020",5 wickets,2020,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,wickets,5
Dubai (DICS),"Oct 10, 2020",37 runs,2020,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,37
Abu Dhabi,"Oct 10, 2020",2 runs,2020,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,2
Sharjah,"Oct 9, 2020",46 runs,2020,Rajasthan Royals,Delhi Capitals,Delhi Capitals,runs,46
Dubai (DICS),"Oct 8, 2020",69 runs,2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,69
Abu Dhabi,"Oct 7, 2020",10 runs,2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,runs,10
Abu Dhabi,"Oct 6, 2020",57 runs,2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,57
Dubai (DICS),"Oct 5, 2020",59 runs,2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,runs,59
Dubai (DICS),"Oct 4, 2020",10 wickets,2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,10
Sharjah,"Oct 4, 2020",34 runs,2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,runs,34
Sharjah,"Oct 3, 2020",18 runs,2020,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,runs,18
Abu Dhabi,"Oct 3, 2020",8 wickets,2020,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,8
Dubai (DICS),"Oct 2, 2020",7 runs,2020,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,7
Abu Dhabi,"Oct 1, 2020",48 runs,2020,Kings XI Punjab,Mumbai Indians,Mumbai Indians,runs,48
Dubai (DICS),"Sep 30, 2020",37 runs,2020,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,runs,37
Abu Dhabi,"Sep 29, 2020",15 runs,2020,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,15
Sharjah,"Sep 27, 2020",4 wickets,2020,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,4
Abu Dhabi,"Sep 26, 2020",7 wickets,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,7
Dubai (DICS),"Sep 25, 2020",44 runs,2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals,runs,44
Dubai (DICS),"Sep 24, 2020",97 runs,2020,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,runs,97
Abu Dhabi,"Sep 23, 2020",49 runs,2020,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,49
Sharjah,"Sep 22, 2020",16 runs,2020,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,runs,16
Dubai (DICS),"Sep 21, 2020",10 runs,2020,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,10
Abu Dhabi,"Sep 19, 2020",5 wickets,2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,5
Hyderabad,"May 12, 2019",1 run,2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,run,1
Visakhapatnam,"May 10, 2019",6 wickets,2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,wickets,6
Visakhapatnam,"May 8, 2019",2 wickets,2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,wickets,2
Chennai,"May 7, 2019",6 wickets,2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,6
Wankhede,"May 5, 2019",9 wickets,2019,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,9
Mohali,"May 5, 2019",6 wickets,2019,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,wickets,6
Bengaluru,"May 4, 2019",4 wickets,2019,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,wickets,4
Delhi,"May 4, 2019",5 wickets,2019,Delhi Capitals,Rajasthan Royals,Delhi Capitals,wickets,5
Mohali,"May 3, 2019",7 wickets,2019,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Chennai,"May 1, 2019",80 runs,2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,runs,80
Hyderabad,"Apr 29, 2019",45 runs,2019,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,45
Eden Gardens,"Apr 28, 2019",34 runs,2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,runs,34
Delhi,"Apr 28, 2019",16 runs,2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,runs,16
Jaipur,"Apr 27, 2019",7 wickets,2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,wickets,7
Chennai,"Apr 26, 2019",46 runs,2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,46
Eden Gardens,"Apr 25, 2019",3 wickets,2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,3
Bengaluru,"Apr 24, 2019",17 runs,2019,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,17
Chennai,"Apr 23, 2019",6 wickets,2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,6
Jaipur,"Apr 22, 2019",6 wickets,2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,wickets,6
Bengaluru,"Apr 21, 2019",1 run,2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,run,1
Hyderabad,"Apr 21, 2019",9 wickets,2019,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,wickets,9
Delhi,"Apr 20, 2019",5 wickets,2019,Delhi Capitals,Kings XI Punjab,Delhi Capitals,wickets,5
Jaipur,"Apr 20, 2019",5 wickets,2019,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,5
Eden Gardens,"Apr 19, 2019",10 runs,2019,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,10
Delhi,"Apr 18, 2019",40 runs,2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,runs,40
Hyderabad,"Apr 17, 2019",6 wickets,2019,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,wickets,6
Mohali,"Apr 16, 2019",12 runs,2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,12
Wankhede,"Apr 15, 2019",5 wickets,2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,5
Hyderabad,"Apr 14, 2019",39 runs,2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,runs,39
Eden Gardens,"Apr 14, 2019",5 wickets,2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,5
Mohali,"Apr 13, 2019",8 wickets,2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Wankhede,"Apr 13, 2019",4 wickets,2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,4
Eden Gardens,"Apr 12, 2019",7 wickets,2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,wickets,7
Jaipur,"Apr 11, 2019",4 wickets,2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,wickets,4
Wankhede,"Apr 10, 2019",3 wickets,2019,Mumbai Indians,Kings XI Punjab,Mumbai Indians,wickets,3
Chennai,"Apr 9, 2019",7 wickets,2019,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,7
Mohali,"Apr 8, 2019",6 wickets,2019,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,wickets,6
Jaipur,"Apr 7, 2019",8 wickets,2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,8
Bengaluru,"Apr 7, 2019",4 wickets,2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,wickets,4
Hyderabad,"Apr 6, 2019",40 runs,2019,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,runs,40
Chennai,"Apr 6, 2019",22 runs,2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,22
Bengaluru,"Apr 5, 2019",5 wickets,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Delhi,"Apr 4, 2019",5 wickets,2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Wankhede,"Apr 3, 2019",37 runs,2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,37
Jaipur,"Apr 2, 2019",7 wickets,2019,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,7
Mohali,"Apr 1, 2019",14 runs,2019,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,runs,14
Chennai,"Mar 31, 2019",8 runs,2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,8
Hyderabad,"Mar 31, 2019",118 runs,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,118
Mohali,"Mar 30, 2019",8 wickets,2019,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,wickets,8
Hyderabad,"Mar 29, 2019",5 wickets,2019,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,wickets,5
Bengaluru,"Mar 28, 2019",6 runs,2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,6
Eden Gardens,"Mar 27, 2019",28 runs,2019,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,runs,28
Delhi,"Mar 26, 2019",6 wickets,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,wickets,6
Jaipur,"Mar 25, 2019",14 runs,2019,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,runs,14
Wankhede,"Mar 24, 2019",37 runs,2019,Mumbai Indians,Delhi Capitals,Delhi Capitals,runs,37
Eden Gardens,"Mar 24, 2019",6 wickets,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,6
Chennai,"Mar 23, 2019",7 wickets,2019,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,7
Wankhede,"May 27, 2018",8 wickets,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,8
Eden Gardens,"May 25, 2018",14 runs,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,14
Eden Gardens,"May 23, 2018",25 runs,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,25
Wankhede,"May 22, 2018",2 wickets,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,2
Pune,"May 20, 2018",5 wickets,2018,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,wickets,5
Delhi,"May 20, 2018",11 runs,2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,11
Hyderabad,"May 19, 2018",5 wickets,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Jaipur,"May 19, 2018",30 runs,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,runs,30
Delhi,"May 18, 2018",34 runs,2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,runs,34
Bengaluru,"May 17, 2018",14 runs,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,runs,14
Wankhede,"May 16, 2018",3 runs,2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians,runs,3
Eden Gardens,"May 15, 2018",6 wickets,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,6
Indore,"May 14, 2018",10 wickets,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,10
Wankhede,"May 13, 2018",7 wickets,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,7
Pune,"May 13, 2018",8 wickets,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,8
Delhi,"May 12, 2018",5 wickets,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Indore,"May 12, 2018",31 runs,2018,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,31
Jaipur,"May 11, 2018",4 wickets,2018,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,4
Delhi,"May 10, 2018",9 wickets,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,9
Eden Gardens,"May 9, 2018",102 runs,2018,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,102
Jaipur,"May 8, 2018",15 runs,2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,runs,15
Hyderabad,"May 7, 2018",5 runs,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,5
Indore,"May 6, 2018",6 wickets,2018,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,wickets,6
Wankhede,"May 6, 2018",13 runs,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,runs,13
Hyderabad,"May 5, 2018",7 wickets,2018,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,wickets,7
Pune,"May 5, 2018",6 wickets,2018,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,6
Indore,"May 4, 2018",6 wickets,2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,6
Eden Gardens,"May 3, 2018",6 wickets,2018,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,6
Delhi,"May 2, 2018",4 runs,2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,4
Bengaluru,"May 1, 2018",14 runs,2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,runs,14
Pune,"Apr 30, 2018",13 runs,2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,13
Bengaluru,"Apr 29, 2018",6 wickets,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Jaipur,"Apr 29, 2018",11 runs,2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,11
Pune,"Apr 28, 2018",8 wickets,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,8
Delhi,"Apr 27, 2018",55 runs,2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,runs,55
Hyderabad,"Apr 26, 2018",13 runs,2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,13
Bengaluru,"Apr 25, 2018",5 wickets,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,5
Wankhede,"Apr 24, 2018",31 runs,2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,31
Delhi,"Apr 23, 2018",4 runs,2018,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,runs,4
Jaipur,"Apr 22, 2018",3 wickets,2018,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,3
Hyderabad,"Apr 22, 2018",4 runs,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,4
Bengaluru,"Apr 21, 2018",6 wickets,2018,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,wickets,6
Eden Gardens,"Apr 21, 2018",9 wickets,2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,9
Pune,"Apr 20, 2018",64 runs,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,64
Mohali,"Apr 19, 2018",15 runs,2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,runs,15
Jaipur,"Apr 18, 2018",7 wickets,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Wankhede,"Apr 17, 2018",46 runs,2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,46
Eden Gardens,"Apr 16, 2018",71 runs,2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,71
Mohali,"Apr 15, 2018",4 runs,2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,runs,4
Bengaluru,"Apr 15, 2018",19 runs,2018,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,runs,19
Eden Gardens,"Apr 14, 2018",5 wickets,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Wankhede,"Apr 14, 2018",7 wickets,2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,wickets,7
Bengaluru,"Apr 13, 2018",4 wickets,2018,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,wickets,4
Hyderabad,"Apr 12, 2018",1 wicket,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wicket,1
