balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
180,,3,1,49.4,36.0,8,8.23,14,2012,0,19,JP Duminy,,247,2011,Deccan Chargers,5
84,,21,2,24.66,14.0,2,10.57,6,2024,0,6,DG Nalkande,,148,2022,Gujarat Titans,6
492,,37,3,27.45,20.5,7,8.03,23,2024,0,23,Noor Ahmad,,659,2023,Gujarat Titans,24
0,,,,0.0,,8,,0,2017,0,26,AJ Finch,,0,2016,Gujarat Lions,0
12,,,,0.0,,0,16.0,1,2017,0,1,MS Gony,,32,2017,Gujarat Lions,0
733,,25,3,26.07,17.4,3,8.96,33,2024,4,33,KK Ahmed,,1095,2022,Delhi Daredevils,42
0,,,,0.0,,9,,0,2023,0,11,Aman Hakim Khan,,0,2023,Delhi Daredevils,0
42,,31,2,27.0,21.0,0,7.71,2,2016,0,2,SM Boland,,54,2016,Rising Pune Supergiants,2
72,,35,1,115.0,72.0,1,9.58,5,2017,0,5,DL Chahar,,115,2016,Rising Pune Supergiants,1
174,,14,2,25.33,19.3,0,7.86,8,2022,0,8,M Ashwin,,228,2022,Mumbai Indians,9
96,,35,3,30.4,19.2,1,9.5,5,2022,1,5,Basil Thampi,,152,2022,Mumbai Indians,5
6,,,,0.0,,2,5.0,1,2013,0,2,RV Gomez,,5,2013,Pune Warriors,0
0,,,,0.0,,2,,0,2012,0,3,Harpreet Singh,,0,2011,Pune Warriors,0
66,,11,1,52.5,33.0,4,9.54,3,2009,0,3,A Flintoff,,105,2009,Chennai Super Kings,2
0,,,,0.0,,36,,0,2024,0,66,RD Gaikwad,,0,2020,Chennai Super Kings,0
0,,,,0.0,,0,,0,2023,0,1,R Shepherd,,0,2023,Lucknow Super Giants,0
54,,21,1,71.0,54.0,0,7.88,3,2024,0,3,M Siddharth,,71,2024,Lucknow Super Giants,1
0,,,,0.0,,4,,0,2021,0,8,KS Bharat,,0,2021,Royal Challengers Bangalore,0
12,,,,0.0,,1,17.5,1,2012,0,1,RR Bhatkal,,35,2012,Royal Challengers Bangalore,0
0,,,,0.0,,47,,0,2024,0,83,JC Buttler,,0,2018,Rajasthan Royals,0
6,,6,1,6.0,6.0,4,6.0,1,2009,0,5,LA Carseldine,,6,2009,Rajasthan Royals,1
24,,28,1,62.0,24.0,0,15.5,2,2019,0,2,KC Cariappa,,62,2015,Kolkata Knight Riders,1
204,,13,4,24.91,17.0,0,8.79,9,2014,0,9,L Balaji,,299,2014,Kings XI Punjab,12
0,,,,0.0,,0,,0,2010,0,3,AB Barath,,0,2010,Kings XI Punjab,0
120,,18,2,26.66,20.0,2,8.0,7,2015,0,9,RS Bopara,,160,2015,Sunrisers Hyderabad,6
140,,27,2,30.8,28.0,0,6.6,6,2009,1,6,FH Edwards,,154,2009,Deccan Chargers,5
333,,17,3,40.9,30.2,12,8.1,21,2023,0,31,HH Pandya,,450,2022,Gujarat Titans,11
1047,,24,4,23.92,18.6,23,7.67,45,2024,0,45,Rashid Khan,,1340,2022,Gujarat Titans,56
0,,,,0.0,,4,,0,2017,0,16,Ishan Kishan,,0,2016,Gujarat Lions,0
